0,0.168,0.28,"NA"
1,0.579,0.72,"NA"
2,0.237,0.28,"NA"
3,0.547,0.745,"NA"
4,0.953,0.72,"NA"
5,0.653,0.218,"NA"
6,0.521,0.255,"NA"
7,0.468,0.267,"NA"
8,0.589,0.218,"NA"
9,0.495,0.193,"NA"
10,0.784,0.424,"NA"
11,0.595,0.498,"NA"
12,0.311,0.424,"NA"
13,0.321,0.436,"NA"
14,0.479,0.412,"NA"
16,0.747,0.498,"NA"
17,0.853,0.786,"NA"
18,0.447,0.412,"NA"
19,0.9,0.988,"NA"
20,0.984,0.975,"NA"
21,0.537,0.259,"NA"
22,0.611,0.321,"NA"
23,0.747,0.259,"NA"
24,0.137,0.272,"NA"
25,0.626,0.309,"NA"
26,0.6,0.309,"NA"
27,0.511,0.272,"NA"
28,0.058,0.333,"NA"
29,0.742,0.296,"NA"
30,0.679,0.86,"NA"
31,0.784,0.49,"NA"
32,0.711,0.477,"NA"
33,0.621,0.514,"NA"
35,0.611,0.012,"NA"
36,0.426,0.037,"NA"
37,0.495,0.317,"NA"
38,0.579,0.337,"NA"
39,0.958,0.901,"NA"
40,0.8,0.852,"NA"
41,0.895,0.852,"NA"
42,0.716,0.325,"NA"
43,0.8,0.362,"NA"
44,0.5,0.325,"NA"
45,0.732,0.337,"NA"
46,0.253,0.165,"NA"
47,0.505,0.296,"NA"
48,0.516,0.198,"NA"
49,0.779,0.276,"NA"
50,0.695,0.708,"NA"
51,0.7,0.593,"NA"
52,0.911,0.605,"NA"
53,0.784,0.58,"NA"
54,0.732,0.811,"NA"
55,0.716,0.63,"NA"
56,0.674,0.617,"NA"
57,0.426,0.568,"NA"
58,0.395,0.078,"NA"
59,0.537,0.091,"NA"
60,0.784,0.93,"NA"
61,0.879,0.93,"NA"
62,1,0.905,"NA"
63,0.332,0.403,"NA"
64,0.7,0.403,"NA"
65,0.621,0.465,"NA"
66,0.258,0.428,"NA"
67,0.2,0.403,"NA"
68,0.774,0.453,"NA"
69,0.763,0.403,"NA"
70,0.516,0.247,"NA"
71,0.163,0.379,"NA"
72,0.374,0.695,"NA"
74,0.916,0.658,"NA"
75,0.584,0.272,"NA"
76,0.679,0.169,"NA"
79,0.774,0.609,"NA"
80,0.474,0.132,"NA"
81,0.684,0.695,"NA"
82,0.932,0.679,"NA"
84,0.658,0.481,"NA"
85,0.437,0.481,"NA"
86,0.821,0.469,"NA"
87,0.521,0.494,"NA"
88,0.468,0.457,"NA"
89,0.542,0.494,"NA"
90,0.711,0.469,"NA"
91,0.532,0.247,"NA"
92,0.042,0.235,"NA"
93,0.774,0.675,"NA"
94,0.468,0.173,"NA"
95,0.563,0.687,"NA"
96,0.458,0.21,"NA"
97,0.668,0.235,"NA"
98,0.632,0.198,"NA"
99,0.953,0.675,"NA"
100,0.489,0.675,"NA"
101,0.489,0.621,"NA"
102,0.295,0.165,"NA"
103,0.495,0.008,"NA"
104,0.563,0.597,"NA"
106,0.858,0.51,"NA"
107,0.811,0.572,"NA"
108,0.668,0.51,"NA"
109,0.895,0.584,"NA"
110,0.237,0.51,"NA"
111,0.584,0.07,"NA"
112,0.632,0.082,"NA"
113,0.563,0.288,"NA"
114,0.911,0.827,"NA"
115,0.879,0.778,"NA"
116,0.732,0.79,"NA"
117,0.263,0.276,"NA"
118,0.747,0.753,"NA"
119,0.695,0.313,"NA"
120,0.642,0.79,"NA"
121,0.547,0.251,"NA"
122,0.858,0.815,"NA"
123,0.563,0.239,"NA"
124,0.632,0.284,"NA"
125,0.305,0.14,"NA"
126,0.326,0.572,"NA"
127,0.958,0.802,"NA"
128,0.884,0.819,"NA"
129,0.768,0.42,"NA"
130,0.695,0.267,"NA"
131,0.716,0.531,"NA"
132,0.716,0.506,"NA"
133,0.711,0.444,"NA"
134,0.637,0.444,"NA"
135,0.416,0.267,"NA"
136,0.621,0.276,"NA"
137,0.516,0.354,"NA"
139,0.847,0.638,"NA"
140,0.821,0.626,"NA"
141,0.763,0.601,"NA"
142,0.868,0.638,"NA"
143,0.816,0.613,"NA"
146,0.574,0.136,"NA"
147,0.705,0.111,"NA"
148,0.747,0.815,"NA"
149,0.784,0.383,"NA"
150,0.126,0.305,"NA"
151,0.432,0.329,"NA"
152,0.242,0.379,"NA"
153,0.779,0.329,"NA"
154,0.9,0.868,"NA"
155,0.737,0.317,"NA"
156,0.784,0.868,"NA"
157,0.674,0.272,"NA"
158,0,0.354,"NA"
159,0.537,0.305,"NA"
160,0.558,0.21,"NA"
161,0.605,0.222,"NA"
162,0.411,0.165,"NA"
164,0.689,0.728,"NA"
168,0.558,0.728,"NA"
169,0.705,0.642,"NA"
170,0.753,0.728,"NA"
171,0.758,0.704,"NA"
172,0.995,0.802,"NA"
173,0.768,0.379,"NA"
174,0.721,0.383,"NA"
175,0.542,0.23,"NA"
176,0.284,0.395,"NA"
177,0.742,0.358,"NA"
178,0.547,0.407,"NA"
179,0.684,0.42,"NA"
180,0.263,0.358,"NA"
181,0.784,0.737,"NA"
182,0.747,0.745,"NA"
185,0.979,0.757,"NA"
186,0.653,0.255,"NA"
187,0.389,0.193,"NA"
188,0.437,0.206,"NA"
189,0.489,0.218,"NA"
190,0.516,0.708,"NA"
191,0.216,0.412,"NA"
192,0.705,0.424,"NA"
193,0.289,0.449,"NA"
194,0.495,0.412,"NA"
195,0.458,0.498,"NA"
196,0.489,0.473,"NA"
197,0,0.436,"NA"
198,0.779,1,"NA"
199,0.389,0.21,"NA"
201,0.626,0.235,"NA"
202,0.768,0.305,"NA"
203,0.584,0.823,"NA"
204,0.379,0.296,"NA"
205,0.547,0.284,"NA"
206,0.347,0.272,"NA"
207,0.105,0.259,"NA"
208,0.721,0.296,"NA"
209,0.4,0.272,"NA"
210,0.705,0.848,"NA"
211,0.668,0.333,"NA"
212,0.653,0.346,"NA"
213,0.358,0.42,"NA"
214,0.732,0.564,"NA"
215,0.216,0.477,"NA"
216,0.547,0.049,"NA"
217,0.447,0,"NA"
218,0.684,0.284,"NA"
219,0.795,0.514,"NA"
220,0.805,0.551,"NA"
221,0.305,0.362,"NA"
222,1,0.852,"NA"
223,0.653,0.877,"NA"
224,0.684,0.387,"NA"
225,0.658,0.362,"NA"
226,0.747,0.362,"NA"
227,0.595,0.387,"NA"
228,0.605,0.374,"NA"
229,0.868,0.852,"NA"
230,0.879,0.877,"NA"
232,0.684,0.251,"NA"
234,0.4,0.543,"NA"
235,0.537,0.568,"NA"
237,0.484,0.115,"NA"
238,0.595,0.543,"NA"
239,0.621,0.568,"NA"
241,0.626,0.029,"NA"
242,0.811,0.593,"NA"
243,0.132,0.165,"NA"
244,0.826,0.667,"NA"
245,0.689,0.346,"NA"
246,0.816,0.453,"NA"
247,0.416,0.416,"NA"
248,0.6,0.428,"NA"
249,0.6,0.284,"NA"
250,0.563,0.379,"NA"
251,0.942,0.675,"NA"
252,0.7,0.173,"NA"
253,0.516,0.263,"NA"
255,0.521,0.646,"NA"
256,0.863,0.695,"NA"
258,0.953,0.695,"NA"
259,0.921,0.621,"NA"
262,0.468,0.144,"NA"
263,0.784,0.658,"NA"
264,0.747,0.333,"NA"
265,0.958,0.86,"NA"
266,0.616,0.296,"NA"
267,0.616,0.658,"NA"
268,0.384,0.235,"NA"
269,0.532,0.272,"NA"
270,0.611,0.481,"NA"
271,0.511,0.457,"NA"
272,0.495,0.444,"NA"
273,0.153,0.494,"NA"
274,0.837,0.469,"NA"
275,0.795,0.531,"NA"
276,0.779,0.444,"NA"
277,0.779,0.469,"NA"
278,0.489,0.28,"NA"
279,0.868,0.724,"NA"
280,0.621,0.7,"NA"
281,0.647,0.687,"NA"
282,0.079,0.247,"NA"
283,0.447,0.247,"NA"
284,0.979,0.712,"NA"
286,0.842,0.724,"NA"
287,0.389,0.173,"NA"
288,0.842,0.7,"NA"
289,0.889,0.967,"NA"
290,0.753,0.584,"NA"
291,0.553,0.547,"NA"
292,0.574,0.523,"NA"
293,0.484,0.523,"NA"
294,0.511,0.597,"NA"
295,0.653,0.535,"NA"
296,0.589,0.584,"NA"
299,0.768,0.547,"NA"
300,0.958,0.753,"NA"
301,0.763,0.778,"NA"
302,0.526,0.226,"NA"
303,0.811,0.3,"NA"
304,0.453,0.263,"NA"
305,0.774,0.313,"NA"
306,0.589,0.3,"NA"
307,0.379,0.276,"NA"
308,0.305,0.276,"NA"
309,0.795,0.239,"NA"
312,0.821,0.638,"NA"
313,0.847,0.626,"NA"
314,0.737,0.613,"NA"
315,0.784,0.601,"NA"
316,0.526,0.576,"NA"
317,0.795,0.638,"NA"
318,0.789,0.626,"NA"
319,0.616,0.148,"NA"
320,0.526,0.276,"NA"
321,0.632,0.897,"NA"
322,0.484,0.305,"NA"
323,0.753,0.342,"NA"
324,0,0.317,"NA"
325,0.047,0.329,"NA"
326,0.779,0.807,"NA"
327,0.263,0.329,"NA"
328,0.632,0.342,"NA"
329,0.705,0.305,"NA"
330,0.711,0.305,"NA"
331,0.763,0.354,"NA"
332,0.284,0.572,"NA"
333,0.489,0.062,"NA"
334,0.863,0.831,"NA"
335,0.247,0.214,"NA"
336,0.321,0.547,"NA"
337,0.474,0.251,"NA"
338,0.568,0.366,"NA"
339,0.7,0.745,"NA"
341,0.295,0.214,"NA"
344,0.268,0.654,"NA"
345,0.595,0.716,"NA"
346,0.668,0.679,"NA"
347,0.684,0.667,"NA"
348,0.537,0.202,"NA"
350,0.847,0.765,"NA"
351,0.874,0.897,"NA"
352,0.758,0.383,"NA"
353,0.384,0.37,"NA"
354,0.305,0.383,"NA"
355,0.821,0.395,"NA"
356,0.632,0.358,"NA"
357,0.8,0.42,"NA"
358,0.168,0.321,"NA"
359,0.384,0.42,"NA"
360,0.579,0.395,"NA"
361,0.658,0.432,"NA"
362,0.442,0.173,"NA"
363,0.363,0.156,"NA"
364,0.605,0.173,"NA"
